number;department;section;name;full_name;char;type;doc_diff;status;date_pub;papers
;52;;20380-686.01-506СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Аппаратной ГАК. Сборочный чертеж;а2;Сборочный чертеж;;;24.06.2021;
;52;;20380.52.26376;Извещение об изменении;;Извещение об изменении;20380-686.01-503,20380-686.01-503ВК,20380-686.01-503СБ;;24.06.2021;А4 - 8
;52;;20380-686.01-503;Установка электрооборудования и прокладка кабелей с их креплениями в помещении обработки стокок №1 и помещении водяных насосов;а1;Спецификация;;;24.06.2021;
;52;;20380-686.01-503ВК;Установка электрооборудования и прокладка кабелей с их креплениями в помещении обработки стокок №1 и помещении водяных насосов;а1;Кабельный журнал;;;24.06.2021;
;52;;20380-686.01-503СБ;Установка электрооборудования и прокладка кабелей с их креплениями в помещении обработки стокок №1 и помещении водяных насосов;а2;Сборочный чертеж;;;24.06.2021;
;52;;20380.52.26377;Извещение об изменении;;Извещение об изменении;20380-686.01-508,20380-686.01-508СБ;;24.06.2021;А4 - 16
;52;;20380-686.01-508;Установка электрооборудования и прокладка кабелей с их креплениями в тамбуре N2, душевой команды N1, кладовой обмундирования;а1;Спецификация;;;24.06.2021;
;52;;20380-686.01-508СБ;Установка электрооборудования и прокладка кабелей с их креплениями в тамбуре N2, душевой команды N1, кладовой обмундирования;а2;Сборочный чертеж;;;24.06.2021;
;52;;20380.52.26378;Извещение об изменении;;Извещение об изменении;20380-686.01-511,20380-686.01-511ВК,20380-686.01-511СБ;;24.06.2021;А3 - 2, А4 - 5
;52;;20380-686.01-511;Установка электрооборудования и прокладка кабелей с их креплениями в Кубрике №1, Кубрике №2.;а1;Спецификация;;;24.06.2021;
;52;;20380-686.01-511ВК;Установка электрооборудования и прокладка кабелей с их креплениями в Кубрике №1, Кубрике №2. Кабельный журнал;а2;Кабельный журнал;;;24.06.2021;
;52;;20380-686.01-511СБ;Установка электрооборудования и прокладка кабелей с их креплениями в Кубрике №1, Кубрике №2.;а3;Сборочный чертеж;;;24.06.2021;
;52;;20380.52.26380;Извещение об изменении;;Извещение об изменении;20380-686.03-520,20380-686.03-520СБ;;22.06.2021;А4 - 3
;52;;20380-686.03-520;Установка электрооборудования и прокладка кабелей с их креплением в Тамбуре №14.;а1;Спецификация;;;22.06.2021;
;52;;20380-686.03-520СБ;Установка электрооборудования и прокладка кабелей с их креплением в Тамбуре №14. Сборочный чертеж;а3;Сборочный чертеж;;;22.06.2021;
;52;;20380.52.26382;Извещение об изменении;;Извещение об изменении;20380-686.01-507,20380-686.01-507СБ;;21.06.2021;А4 - 2
;52;;20380-686.01-507;Установка электрооборудования и прокладка кабелей с их креплениями в Тамбуре №1.;а1;Спецификация;;;21.06.2021;
